Epoch,Loss,Accuracy,precision
1,0.935920774936676,53.4,0.49
1,0.6970221281051636,50.4,0.51
2,0.7012160778045654,48.8,0.0
3,0.695874285697937,50.0,0.47
4,0.689102578163147,51.6,0.5070422535211268
5,0.6872118592262269,62.4,0.8947368421052632
6,0.6789750218391418,65.2,0.6037735849056604
7,0.6653302669525146,57.2,0.7419354838709677
8,0.6447525024414062,62.6,0.8235294117647058
9,0.6282276034355163,66.8,0.6842105263157895
10,0.6012606620788574,66.2,0.7142857142857143
11,0.6050542235374451,67.0,0.717948717948718
12,0.570002269744873,69.8,0.6417910447761194
13,0.5434641242027283,71.2,0.7391304347826086
14,0.5378026187419891,73.0,0.8285714285714286
15,0.5656592845916748,70.4,0.8695652173913043
16,0.540372884273529,71.8,0.7413793103448276
17,0.5046074748039245,74.6,0.6976744186046512
18,0.47855239510536196,77.2,0.8888888888888888
19,0.45925030708312986,76.6,0.8181818181818182
20,0.46451197266578675,78.8,0.8918918918918919
21,0.39096763730049133,82.0,0.8260869565217391
22,0.37582623958587646,82.0,0.8235294117647058
23,0.3525622308254242,83.6,0.7666666666666667
24,0.296824249625206,86.0,0.8867924528301887
25,0.22820866703987122,89.2,0.92
26,0.20368672907352448,90.8,0.8627450980392157
27,0.1521955817937851,93.6,0.9818181818181818
28,0.12297318428754807,95.6,0.9148936170212766
29,0.09404318630695344,96.0,0.9636363636363636
30,0.7384658952554067,54.0199425080848,0.5535714285714286
31,0.7102969520050904,52.55569529284944,0.5428571428571428
32,0.7188226438459309,52.021200143729786,0.6363636363636364
1,0.7055239742514731,54.66223499820338,0.6481481481481481
2,0.6670285915506298,59.24811354653252,0.6341463414634146
3,0.6503512708620093,62.26194753862738,0.7333333333333333
4,0.6274938944770002,64.51221703197987,0.7575757575757576
5,0.6020836208401055,67.55749191519942,0.6486486486486487
6,0.5707034188611754,69.84369385555156,0.6666666666666666
7,0.5303975741924911,73.44592166726554,0.6666666666666666
8,0.4736610573084875,76.76518145885734,0.8275862068965517
9,0.39246216138032664,81.74182536830759,0.78125
10,0.30445329155558826,86.4893999281351,0.7142857142857143
1,0.22160551240988846,90.63061444484369,0.8518518518518519
2,0.15735743437818756,93.59504132231405,0.9459459459459459
3,0.11364196292820504,95.4500538986705,0.9375
4,0.0848407285159518,96.72565576715775,1.0
